file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error
rho\set02\rho_1.py,rho,2,rho,1,2,5,5,0.5,0.5,1.0,0.6,1.0,0.5,68.999997,40,11,46.000001,68.999997,21.400001,1,1,1002,0,heuristic_v5b,solved,1,75.40284,68.999997,1.092795,0.0013,,
rho\set03\rho_0.3.py,rho,3,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.7,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v1,infeasible,0,,,,0.0409,,
rho\set03\rho_0.3.py,rho,3,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.7,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v2,infeasible,0,,,,0.0068,,
rho\set03\rho_0.3.py,rho,3,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.7,40,10,46.0,68.999999,21.433333,1,1,1003,0,heuristic_v5b,infeasible,0,,46.0,,0.0017,,over budget: E=46.0000 > B=20.7000
rho\set03\rho_0.4.py,rho,3,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.6,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v1,optimal,1,23.387083,27.596619,0.847462,1.0273,4.2e-05,
rho\set03\rho_0.4.py,rho,3,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.6,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v2,optimal,1,19.221325,27.574353,0.697073,0.1814,0.0,
rho\set03\rho_0.4.py,rho,3,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.6,40,10,46.0,68.999999,21.433333,1,1,1003,0,heuristic_v5b,solved,1,19.055398,27.528397,0.692209,0.0085,,
rho\set03\rho_0.5.py,rho,3,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.499999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v1,optimal,1,44.954345,34.43423,1.305513,0.0513,0.0,
rho\set03\rho_0.5.py,rho,3,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.499999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v2,optimal,1,42.751029,34.458536,1.240651,0.0286,0.0,
rho\set03\rho_0.5.py,rho,3,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.499999,40,10,46.0,68.999999,21.433333,1,1,1003,0,heuristic_v5b,solved,1,38.302108,34.489043,1.110559,0.0064,,
rho\set03\rho_0.6.py,rho,3,rho,0.6,2,5,5,0.5,0.5,0.6,0.6,1.0,0.5,41.399999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v1,optimal,1,53.023504,41.117283,1.289567,0.0689,0.0,
rho\set03\rho_0.6.py,rho,3,rho,0.6,2,5,5,0.5,0.5,0.6,0.6,1.0,0.5,41.399999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v2,optimal,1,50.820188,41.243928,1.232186,0.2155,0.0,
rho\set03\rho_0.6.py,rho,3,rho,0.6,2,5,5,0.5,0.5,0.6,0.6,1.0,0.5,41.399999,40,10,46.0,68.999999,21.433333,1,1,1003,0,heuristic_v5b,solved,1,49.458234,41.279331,1.198136,0.0024,,
rho\set03\rho_0.7.py,rho,3,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v1,optimal,1,58.214077,48.27213,1.205956,0.1928,0.0,
rho\set03\rho_0.7.py,rho,3,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v2,optimal,1,57.135462,48.277101,1.18349,0.0179,0.0,
rho\set03\rho_0.7.py,rho,3,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0,heuristic_v5b,solved,1,53.023504,48.166269,1.100843,0.0038,,
rho\set03\rho_0.8.py,rho,3,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.199999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v1,optimal,1,58.214077,54.953262,1.059338,0.0336,0.0,
rho\set03\rho_0.8.py,rho,3,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.199999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v2,optimal,1,58.214077,55.022125,1.058012,0.0104,0.0,
rho\set03\rho_0.8.py,rho,3,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.199999,40,10,46.0,68.999999,21.433333,1,1,1003,0,heuristic_v5b,solved,1,58.214077,55.178281,1.055018,0.0031,,
rho\set03\rho_0.9.py,rho,3,rho,0.9,2,5,5,0.5,0.5,0.9,0.6,1.0,0.5,62.099999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v1,optimal,1,58.214077,59.411255,0.979849,0.0471,0.0,
rho\set03\rho_0.9.py,rho,3,rho,0.9,2,5,5,0.5,0.5,0.9,0.6,1.0,0.5,62.099999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v2,optimal,1,58.214077,52.390098,1.111166,0.0163,0.0,
rho\set03\rho_0.9.py,rho,3,rho,0.9,2,5,5,0.5,0.5,0.9,0.6,1.0,0.5,62.099999,40,10,46.0,68.999999,21.433333,1,1,1003,0,heuristic_v5b,solved,1,58.214077,61.992256,0.939054,0.0015,,
rho\set03\rho_1.py,rho,3,rho,1,2,5,5,0.5,0.5,1.0,0.6,1.0,0.5,68.999999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v1,optimal,1,58.214077,55.926295,1.040907,0.0288,0.0,
rho\set03\rho_1.py,rho,3,rho,1,2,5,5,0.5,0.5,1.0,0.6,1.0,0.5,68.999999,40,10,46.0,68.999999,21.433333,1,1,1003,0,ilp_v2,optimal,1,58.214077,68.999999,0.843682,0.0068,0.0,
rho\set03\rho_1.py,rho,3,rho,1,2,5,5,0.5,0.5,1.0,0.6,1.0,0.5,68.999999,40,10,46.0,68.999999,21.433333,1,1,1003,0,heuristic_v5b,solved,1,58.214077,68.999999,0.843682,0.0021,,
rho\set04\rho_0.3.py,rho,4,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.700001,40,13,46.000002,69.000003,22.042858,1,1,1004,0,ilp_v1,infeasible,0,,,,0.0323,,
rho\set04\rho_0.3.py,rho,4,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.700001,40,13,46.000002,69.000003,22.042858,1,1,1004,0,ilp_v2,infeasible,0,,,,0.0045,,
rho\set04\rho_0.3.py,rho,4,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.700001,40,13,46.000002,69.000003,22.042858,1,1,1004,0,heuristic_v5b,infeasible,0,,46.000002,,0.0009,,over budget: E=46.0000 > B=20.7000
rho\set04\rho_0.4.py,rho,4,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.600001,40,13,46.000002,69.000003,22.042858,1,1,1004,0,ilp_v1,optimal,1,24.029528,27.510624,0.873464,0.7659,0.0,
rho\set04\rho_0.4.py,rho,4,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.600001,40,13,46.000002,69.000003,22.042858,1,1,1004,0,ilp_v2,optimal,1,10.12859,27.563788,0.36746,0.0495,0.0,
rho\set04\rho_0.4.py,rho,4,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.600001,40,13,46.000002,69.000003,22.042858,1,1,1004,0,heuristic_v5b,infeasible,0,,31.043958,,0.0067,,over budget: E=31.0440 > B=27.6000
rho\set04\rho_0.5.py,rho,4,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.500002,40,13,46.000002,69.000003,22.042858,1,1,1004,0,ilp_v1,optimal,1,48.680064,34.486538,1.411567,0.2016,0.0,
rho\set04\rho_0.5.py,rho,4,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.500002,40,13,46.000002,69.000003,22.042858,1,1,1004,0,ilp_v2,optimal,1,30.775081,34.468926,0.892836,0.0406,0.0,
